job_titles1,year,Location,Level,StandardJobTitle,YearsOfExperience
Facebook Ad Specialist ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
International Call center Advisor,2016,Giza,Entry Level,Software Engneering ,0
Social media ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Freelancer Graphic Designer - Digital Painting and Craft,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Mechanical Maintenance Engineer (Utilities),2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web Developer,2016,Shiekh Zaied City,Entry Level,Software Engneering ,2
Fleet Mechanical Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
3D Max Designer,2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Senior Technical Office Engineer - Architect,2016,Cairo,Manager,Software Engneering ,12
Technical Office Engineer (Fire Fighting),2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Customer Service Administrator - Cairo,2016,Cairo,Entry Level,Software Engneering ,0
Furniture Designer,2016,Cairo,Entry Level,Software Engneering ,2
Senior Customer Service Excutive,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
English Translator,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior .NET Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,5
Help Desk & System Administrator ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Android Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
IT Manager,2016,Giza,Manager,IT Category,15
UI Developer,2016,Cairo,Entry Level,Software Engneering ,2
PowerBuilder Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior Software Engineer - Android ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Engineer - Android ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Senior Software Engineer - iOS ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior .Net  ( MVC ) Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Safety Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Senior Operations Coordinator ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Lisp Engineer - $15/hr,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Java Software Architect - $30/hr,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Lisp Architect - $30/hr,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Editorial Intern,2016,Cairo,Entry Level,Software Engneering ,0
IT Specialist,2016,Cairo,Entry Level,IT Category,0
Senior .Net UI Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Business Analyst - IT,2016,Cairo,Experienced (Non-Manager),IT Category,5
Finishing Engineer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Mobile Application Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Sr. French Translator/Editor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Endoscopy Key Account Specialist,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
"Software Quality Control Specialist ""Tester"" ",2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Maintenance & Fixtures Engineer ,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Software Engineer - Java,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
2D Graphic Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Software Quality Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Software Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior .Net Developer,2016,Cairon,Experienced (Non-Manager),Software Engneering ,3
Product Specialist - Mansoura,2016,Mansoura,Entry Level,Software Engneering ,2
Junior Graphic Designer,2016,Cairo,Entry Level,Software Engneering ,1
Graphic Designer ( 2D & 3D ),2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Copywriter,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior Account Manager,2016,Cairo,Experienced (Non-Manager),Software Engneering ,6
Junior Python Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,2
Front End Developer (Angular),2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior .Net Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Part-Time Field Operation Correspondent ,2016,Cairo,Entry Level,Software Engneering ,1
IT Specialist,2016,Cairo,Experienced (Non-Manager),IT Category,4
QHSE Manager ,2016,Cairo,Manager,Software Engneering ,10
Technical Retail Design Engineer  ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior iOS Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Business Analyst - Software,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Maintenance Section Head -Electrical Engineer,2016,10th of Ramadan,Manager,Software Engneering ,5
ERP Implementer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Junior Web Developer (ASP‬.‪‎NET)‬,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Senior VB and VB.NET Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Product Manager - Software,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Java Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Branding Coordinator,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer ,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Java Web Developer,2016,Giza,Entry Level,Software Engneering ,3
Dental Clinical Professional Advisor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Product Engineer - Manufacturing ,2016,Any,Experienced (Non-Manager),Software Engneering ,5
Senior .Net Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior ERP Implementer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Python Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,5
Senior Account Executive - Advertising,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Tour Leader & Visa Officer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
OHS Supervisor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
PHP Full-Stack Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Planning Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,8
Graphic Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Sr. 2D Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
call center,2016,Cairo,Entry Level,Software Engneering ,0
Event Usher ,2016,Cairo,Entry Level,Software Engneering ,0
Event Coordinator,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Supply Chain Quality Assurance Specialist (Retail),2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Light Current Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Quality Control Manager,2016,Cairo,Manager,Software Engneering ,6
Senior Mechanical Design & Site Engineer Supervisor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Web Developer  (C#/ASP.NET) ,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Software Applications Support Engineer ,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Site Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Architectural Engineer-Site Supervisior,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Customer Service and Contracts Specialist,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Site Engineer - Interior Finishing,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
IT specialist ,2016,Cairo,Experienced (Non-Manager),IT Category,1
Technical Office Engineer - Civil Engineering,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
JUNIOR RESEARCH ANALYST (JRA),2016,Cairo,Entry Level,Software Engneering ,0
FREE LANCER or PART TIME FIELD INTERVIEWER (FLI),2016,Cairo,Entry Level,Software Engneering ,1
Junior Java Developer,2016,Cairo,Entry Level,Software Engneering ,2
Senior BIM Architect,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Senior Java Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Product Specialist - Mansoura and Sharkia,2016,Delta,Entry Level,Software Engneering ,0
Product Specialist - Heliopolis,2016,Cairo,Entry Level,Software Engneering ,0
Product Specialist - Alexandria,2016,Alexandria,Entry Level,Software Engneering ,0
Product Specialist - Mohandessin & Zamalek,2016,Cairo,Entry Level,Software Engneering ,0
Product Specialist - Nasr City & New Cairo,2016,Cairo,Entry Level,Software Engneering ,0
Product Specialist - 6 October & Sheikh Zayed,2016,Giza,Entry Level,Software Engneering ,0
"Product Specialist - Hadayek,Abbasia & Zaitoun",2016,Cairo,Entry Level,Software Engneering ,0
Product Specialist - Haram & Faisal,2016,Giza,Entry Level,Software Engneering ,0
Product Specialist - Shoubra & Downtown,2016,Cairo,Entry Level,Software Engneering ,0
Software Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Mobile Test Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Project Coordinator / Engineer,2016,North Coast,Experienced (Non-Manager),Software Engneering ,4
Front-End/Web Developer - AngularJS,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Linux Hosting Support Engineer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior .Net Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Planning Engineer ,2016,Cairo,Entry Level,Software Engneering ,0
Senior Translator,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Project Manager - Architecture  ,2016,Cairo,Manager,Software Engneering ,12
Oracle DBA Administrator,2016,Giza,Entry Level,Software Engneering ,0
Senior iOS Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Technical Office Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Civil / Architectural Site Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
.NET Web Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
MEP Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Mechanical Technical Engineer,2016,Cairo,Entry Level,Software Engneering ,0
مدخل بيانات,2016,القاهرة,Entry Level,Software Engneering ,0
Project Coordinator,2016,Cairo,Entry Level,Software Engneering ,0
Electrical Site Engineer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Java Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Project Coordinator,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Service Desk Analyst,2016,Cairo,Entry Level,Software Engneering ,2
Junior Android Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Senior Android Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Web Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Civil Engineer,2016,Giza,Experienced (Non-Manager),Software Engneering ,1
C++ Software Engineer - Medical Imaging,2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Customer Service Advisor,2016,New Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Java Developer - Backend,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Enterprise System Support Engineer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,0
Java Developer-J2EE,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
3D Animator ,2016,Giza,Entry Level,Software Engneering ,1
Senior QC Tester,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Senior Software Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Software Developer ,2016,Giza,Entry Level,Software Engneering ,1
Software Engineer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Cloud Infrastructure Architect - $75/hr (Work from Home),2016,Any,Experienced (Non-Manager),Software Engneering ,8
Senior Software QC Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
"IT Project Manager ""IT Director""- Alexandria ",2016,Alexandria,Manager,IT Category,10
Biomedical Engineer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Junior Graphic Designer ,2016,Cairo,Entry Level,Software Engneering ,0
Project Manager,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Open Source Solution Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Data Entry Specialist ,2016,Giza,Entry Level,Software Engneering ,0
Graphic Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Odoo Functional Consultant ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
IT Technical Support Engineer,2016,Cairo,Experienced (Non-Manager),IT Category,3
Relationship Coordinator - Restaurants ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Social Media Supervisor ,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Banking Customer Support,2016,Cairo,Entry Level,Software Engneering ,0
Social Media Manager,2016,Giza,Entry Level,Software Engneering ,4
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior FullStack Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
You stand a chance to get a pl,2016,SHARJAH,Entry Level,Software Engneering ,3
Senior Web Developer - Ruby on Rails,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Business Analyst,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Oracle BI Publisher Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Oracle BPM Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Oracle ESB Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Oracle ADF Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Project Manager,2016,Cairo,Manager,Software Engneering ,7
Plant Manager ,2016,Cairo,"Senior Management (e.g. VP, CEO)",Software Engneering ,15
Maintenance Engineer,2016,Alexandria,Entry Level,Software Engneering ,0
Production Engineer,2016,Alexandria,Entry Level,Software Engneering ,0
Call Center Support,2016,Cairo,Entry Level,Software Engneering ,0
Customer Service Specialist - Real Estate,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Pricing Operation Manager - Real Estate,2016,Cairo,Manager,Software Engneering ,10
Facility Manager (Cleaning/Landscape) ,2016,Giza,Manager,Software Engneering ,10
Merchandiser,2016,Cairo,Entry Level,Software Engneering ,0
Oracle DBA Administrator (EBS),2016,Cairo,Experienced (Non-Manager),Software Engneering ,6
Oracle Senior Application Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,6
IT Process Engineer,2016,Giza,Experienced (Non-Manager),IT Category,1
Trending News Writer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Sr Site Engineer (Civil Engineer) Alexandria ,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,10
Production Engineer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,3
Content and Community Outreach Intern,2016,Cairo,Student,Software Engneering ,0
Community Outreach Intern,2016,Cairo,Student,Software Engneering ,0
Junior Software Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Technical Support Specialist,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Java Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Java Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Call Center Supervisor - Real Estate,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Fashion Quality Control Supervisor ,2016,"cairo, giza",Experienced (Non-Manager),Software Engneering ,4
Automotive Maintenance Engineer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,5
Graphic & Social Media Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Odoo Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,5
Senior Localization Project  Manager ,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Light Current Engineer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
UI Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Senior PHP Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Customer Support Director - $30/hr,2016,Any,Manager,Software Engneering ,10
Senior Translator and Reviewer ,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
English Editor & Writer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Graphics Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Customer Experience Associate ,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,3
PR Manager,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Customer service ,2016,Cairo,Entry Level,Software Engneering ,0
Customer Care Officer,2016,Cairo,Entry Level,Software Engneering ,0
Call Center Supervisor ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Information Technology Manager ,2016,Cairo,Manager,Software Engneering ,5
Merchandiser,2016,2111111111111111111111111111111111110122222222222222Cairo / Kafr el shiehk / Mansoura,Entry Level,Software Engneering ,0
Merchandiser - Kafr El Sheikh,2016,kafr el sheikh,Entry Level,Software Engneering ,0
Junior Full Stack PHP Developer,2016,Cairo,Entry Level,Software Engneering ,0
Customer Service Executive,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Front-End Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
HR Application Consultant,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior Java Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Electrical Maintenance Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
PHP Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Network and System Administrator,2016,Giza,Experienced (Non-Manager),Software Engneering ,6
Senior Oracle Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Technology Marketer/Product Manager,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Mobile Developer (iOS/Android),2016,Giza,Experienced (Non-Manager),Software Engneering ,3
 Senior Software Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
UI/UX Designer,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Senior Back-End Web Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
IT Specialist,2016,Cairo,Experienced (Non-Manager),IT Category,4
Business Development Engineer - Oil & Gas,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Project Coordinator - Industrial Projects ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,8
Technical Support Engineer - IT,2016,Giza,Entry Level,IT Category,0
Developer Team Lead  (Mobile & Web ),2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Senior Mobile & Web Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Quality Control Software Engineer.,2016,Cairo,Entry Level,Software Engneering ,2
Junior Software Developer ,2016,Cairo,Entry Level,Software Engneering ,3
Cashier ,2016,Cairo,Entry Level,Software Engneering ,0
PHP Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
PR Coordinator,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Project Coordinator ( Web Design) - Alexandria,2016,Alexandria,Entry Level,Software Engneering ,0
Mobile Application Tester,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior IOS or Android Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Software Quality Manager,2016,Cairo,Manager,Software Engneering ,7
Senior Software Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2016,Cairo,Entry Level,Software Engneering ,0
IT Help Desk ,2016,Giza,Experienced (Non-Manager),IT Category,3
Design Engineer,2016,Cairo,Entry Level,Software Engneering ,0
Video Editor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
senior php developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Maintenance Engineer,2016,elgiza,Experienced (Non-Manager),Software Engneering ,7
Maintenance Engineer,2016,elgiza,Experienced (Non-Manager),Software Engneering ,7
Maintenance Engineer - Equipment ,2016,Giza,Experienced (Non-Manager),Software Engneering ,7
Project Coordinator,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Interior design Manager ,2016,Cairo,Manager,Software Engneering ,10
Factory Manager ,2016,Cairo,Manager,Software Engneering ,3
Creative Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Structure Engineer (Shop Drawing) ,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer - Fashion ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
ERP Specialist,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
System Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Project Planning Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Senior Mobile Application Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,2
Junior Ordering Specialist Alexandria ,2016,Alexandria,Entry Level,Software Engneering ,1
Mobile Application Developer - Alexandria,2016,Alexandria,Experienced (Non-Manager),Software Engneering ,1
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
UI/UX Designer,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Web Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
IT Specialist,2016,Cairo,Experienced (Non-Manager),IT Category,4
Mobile Developer (iOS/Android),2016,Giza,Experienced (Non-Manager),Software Engneering ,3
IT Specialist,2016,10th of ramadan city,Entry Level,IT Category,0
Technical Support,2016,10th of ramadan city,Entry Level,Software Engneering ,0
Network Engineer,2016,10th of ramadan city,Entry Level,Software Engneering ,0
Software Developer,2016,10th of ramadan city,Entry Level,Software Engneering ,0
Web Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Junior Architect,2016,Cairo,Entry Level,Software Engneering ,0
System Support Engineer,2016,Giza,Entry Level,Software Engneering ,0
Creative Junior Architect,2016,Cairo,Entry Level,Software Engneering ,0
Android Developer,2016,Cairo / Gharbia,Experienced (Non-Manager),Software Engneering ,2
Project Coordinator- Architect ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Motor Claims Assessor - Mechanical Engineering,2016,Cairo,Entry Level,Software Engneering ,0
Merchandiser  - Samsung,2016,Cairo / Desok,Entry Level,Software Engneering ,0
Senior Web Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Mathematics Content Developer,2016,Cairo,Entry Level,Software Engneering ,0
Decoration Engineer,2016,10th of Ramdan City,Experienced (Non-Manager),Software Engneering ,4
Customer Inquiry Advisor (Call Center) Trainee,2016,Cairo,Entry Level,Software Engneering ,0
IT Specialist (ERP),2016,Giza,Experienced (Non-Manager),IT Category,5
Customer Relation Specialist/HR Training ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Maintenance Mechanical Engineer,2016,Giza,Experienced (Non-Manager),Software Engneering ,8
"Software Engineer ""Java""",2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Software Support Engineer,2016,Giza,Entry Level,Software Engneering ,0
Software Test Engineer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Associate Project Manager,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Software Support Manager,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Electrical Site Engineer,2016,Cairo,Entry Level,Software Engneering ,0
Web Developer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,6
Event Management &Team; Building Activities Specialist,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Drupal and PHP Programmers,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Site Engineer - Architecture (Alexandria),2016,Alexandria,Experienced (Non-Manager),Software Engneering ,7
Motor Claims Surveyor - Mechanical Engineering,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Multimedia Application Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Network Application Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Purchasing Specialist - Raw Material,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Test & Validation Software Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Corporate Account  Executive ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,4
Computer Vision Software Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Flow Cytometry Analyst - Medical,2016,Cairo,Entry Level,Software Engneering ,0
Operations Coordinator ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Digital Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior System Administrator,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
Catering Officer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,7
System Administrator,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Purchasing Manager,2016,Cairo,Manager,Software Engneering ,15
Production Officer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Exhibition Stand Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Tendering Manager,2016,Cairo,Manager,Software Engneering ,15
Translator (Thesaurus Islamicus Foundation),2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Front End/ PHP Web Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
UI & UX Designer (Web Designer ),2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Mobile Application Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,1
Travel Adviser,2016,Cairo - Giza,Entry Level,Software Engneering ,0
Service Advisor,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
Customer Care Executive,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
IT Helpdesk Specialist,2016,Cairo,Experienced (Non-Manager),IT Category,2
Senior Mathematics English Content Writer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Content Writer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Social Media Executive ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior iOS Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Android Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
Digital Marketer,2016,Giza,Experienced (Non-Manager),Software Engneering ,2
Customer Service Consultant,2016,Cairo,Entry Level,Software Engneering ,0
PHP Developer - Freelancer (Alexandria),2016,Alexandria,Experienced (Non-Manager),Software Engneering ,2
Social Media Account Manager,2016,Cairo,Entry Level,Software Engneering ,0
PHP Developer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Concrete Plant Engineer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,10
Senior Interior Designer,2016,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior Business Analyst ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Civil Engineer,2016,Cairo,Manager,Software Engneering ,10
UI Developer (Front-End),2016,Cairo,Experienced (Non-Manager),Software Engneering ,2
iOS Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,4
Customer Service Supervisor ,2016,Cairo,Experienced (Non-Manager),Software Engneering ,3
Network Instructor ( Microsoft - CISCO ),2016,Cairo,Experienced (Non-Manager),Software Engneering ,9
Graphic Designer,2016,Giza,Experienced (Non-Manager),Software Engneering ,5
Senior Android Developer,2016,Giza,Experienced (Non-Manager),Software Engneering ,3
java devoleper,2016,Cairo,Manager,Software Engneering ,3
Oracle DBA Administrator,2016,Giza,Entry Level,Software Engneering ,0
Technical Operations Analyst - $15/hr,2016,Any,Experienced (Non-Manager),Software Engneering ,5
